Name,Financial Status,Fulfillment Status,Taxes,Total,Discount Amount,Created_at (UTC),Lineitem quantity,Lineitem price,Cancelled at,Payment Method,Refunded Amount,Location,Source,Lineitem name
MX29-1828,paid,fulfilled,248.28,1800.0,0.0,14/01/2018 01:11:00,1,1799.99,No cancelado,Cash + External Credit,0.0,Tienda A,pos,LUCAS
MX29-1829,paid,fulfilled,248.28,1800.0,0.0,14/01/2018 01:30:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,WOODY
MX29-1830,paid,fulfilled,248.28,1800.0,0.0,14/01/2018 19:16:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ESQUIVEL
MX29-1831,paid,fulfilled,468.97,3400.0,0.0,14/01/2018 20:03:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,BARRAGAN
MX29-1832,paid,fulfilled,317.24,2300.0,0.0,14/01/2018 20:07:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1833,paid,fulfilled,317.24,2300.0,0.0,14/01/2018 20:16:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS
MX29-1834,paid,fulfilled,248.28,1800.0,0.0,14/01/2018 21:18:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,LUCAS
MX29-1835,paid,fulfilled,248.28,1800.0,0.0,14/01/2018 21:28:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,PARKS
MX29-1836,paid,fulfilled,248.28,1800.0,0.0,14/01/2018 21:54:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,DARIA JR
MX29-1837,paid,fulfilled,227.58,1650.0,150.0,14/01/2018 22:41:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN
MX29-1838,paid,fulfilled,248.28,1800.0,0.0,14/01/2018 22:44:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,JANIS
MX29-1839,paid,fulfilled,248.28,1800.0,0.0,14/01/2018 23:19:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,DARIA
MX29-1840,paid,fulfilled,220.69,1600.0,1800.0,14/01/2018 23:53:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ESQUIVEL
MX29-1841,paid,fulfilled,227.58,1650.0,150.0,15/01/2018 00:14:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,ALDOUS
MX29-1842,paid,fulfilled,248.28,1800.0,0.0,15/01/2018 01:17:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,PARKS
MX29-1843,paid,fulfilled,248.28,1800.0,0.0,15/01/2018 01:42:00,1,1799.99,No cancelado,Cash + External Credit,0.0,Tienda A,pos,JANIS
